Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
electricity (BTU),9712400177725.844,10027637153092.084,10228096469484.24,10421222269345.156,10618688349565.643,10818559769413.71,11022923387585.018,11191771309165.74,11360606769978.266,11532428174063.828,11709177073266.469,12050484680073.02,12381862644700.97,12713734102189.514,13048302795953.94,13383897311787.154,13721730550480.252,14044540675061.953,14378627148547.213,14715938812077.463,15113434581232.572,15577183268942.309,16009005928234.443,16451435642168.812,16895113233054.35,16978764569819.254,17791033287853.46,18221722022058.8,18627594167256.01,19034627583825.71,19444074836660.26
coal (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural gas (BTU),5356200000000.0,5441520000000.0,5441520000000.0,5441520000000.0,5441520000000.0,5441520000000.0,5441520000000.0,5441520000000.0,5441520000000.0,5441520000000.0,5441520000000.0,5713596000000.0,5985672000000.0,6257748000000.0,6529824000000.0,6801900000000.0,7073975999999.999,7346051999999.999,7618127999999.999,7890204000000.0,8162279999999.998,8434355999999.999,8706431999999.999,8978507999999.998,9250583999999.998,9522659999999.998,9794735999999.998,10066811999999.998,10338887999999.996,10610963999999.996,10883039999999.996
petroleum diesel (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass (BTU),6067200000000.0,6323160000000.0,6323160000000.0,6323160000000.0,6323160000000.0,6323160000000.0,6323160000000.0,6323160000000.0,6323160000000.0,6323160000000.0,6323160000000.0,6639318000000.0,6955476000000.0,7271634000000.0,7587792000000.0,7903949999999.999,8220107999999.999,8536266000000.0,8852424000000.0,9168582000000.0,9484740000000.0,9800898000000.0,10117056000000.0,10433213999999.998,10749371999999.998,11065529999999.998,11381687999999.998,11697845999999.998,12014003999999.996,12330161999999.996,12646319999999.996
kerosene (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy or residual fuel oil (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG propane or butane (BTU),25757160000000.0,28838160000000.0,28838160000000.0,28838160000000.0,28838160000000.0,28838160000000.0,28838160000000.0,28838160000000.0,28838160000000.0,28838160000000.0,28838160000000.0,30280068000000.0,31721976000000.0,33163884000000.0,34605791999999.996,36047699999999.99,37489607999999.99,38931515999999.99,40373423999999.99,41815331999999.984,43257239999999.984,44699147999999.984,46141055999999.984,47582963999999.984,49024871999999.984,50466779999999.98,51908687999999.98,53350595999999.98,54792503999999.98,56234411999999.98,57676319999999.98
hydrogen (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
