Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
electricity (BTU),303712527775989.25,333584283595047.0,336371670873351.2,365145234988318.9,393392405177648.7,405055435281499.25,416858658324613.7,428826520079758.0,440974409494967.06,453323763971582.25,462344269931711.5,474755297947158.1,487195729372900.5,499804278438190.6,512388689212092.25,524951947853145.3,537497023390749.2,550018094739798.8,562526464993890.75,575024980158579.9,587516582681867.2,596262113249182.6,605029201703047.1,613985931495195.0,622963865623732.5,631964869674136.2,640990799321909.2,650043184679967.0,659124390426910.1,668236407116877.8,677381361616611.8
coal (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural gas (BTU),14472775733332.898,15012235315480.465,15291557888245.322,14904442317511.223,15386172444907.088,15818532548282.197,16253193365508.531,16690890759858.412,17131813043684.781,17502188344312.172,17899089818876.617,17893174763962.203,17891139897345.91,17888450716397.98,17885123041408.273,17881173200994.46,17877412462149.758,17873039198491.867,17868069201467.266,17862519838780.266,17856410206036.95,18436619361067.547,19018171348072.383,19598345652196.9,20177112173633.117,20754442182932.727,21330346386802.797,21904765318303.613,22477676652034.266,23049061737698.312,23618903579238.387
petroleum diesel (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kerosene (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy or residual fuel oil (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG propane or butane (BTU),3236231283899.8857,3101913355243.785,3212084759310.9053,3250645807826.5303,3354126044075.465,3448315085354.0615,3544982492393.445,3644216357066.6035,3746128652758.381,3850829647971.042,3958440626713.09,4077067500561.6475,4198812901237.813,4323821530161.1777,4452249226748.929,4584240610933.878,4719814300802.48,4859168942695.717,5002509210904.621,5150050288049.72,5302022841263.064,5498906350774.327,5700034421537.993,5905668979300.336,6116081110509.527,6331561735406.127,6552399577383.988,6778874989093.831,7011281513763.618,7249915273150.528,7495084808982.548
hydrogen (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
