Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
electricity (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural gas (BTU),3051259794903.2266,3146729036242.477,3121377992872.34,3012455420257.367,3066446487678.503,3107230459497.892,3145713717466.0645,3181160398310.6807,3213382189678.8193,3316150964245.9307,3392393564875.9854,3398308619790.403,3400343486406.6978,3403032667354.625,3406360342344.3335,3410310182758.142,3414070921602.8477,3418444185260.738,3423414182285.3403,3428963544972.343,3435073177715.657,3564580135476.8145,3692744261263.73,3822286069930.969,3953235661286.5054,4085621764778.652,4219433673700.336,4354730854991.271,4491535634052.374,4629866661180.076,4769740932431.758
petroleum diesel (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass (BTU),285860829554351.75,293948235443515.1,298059399575592.2,298614962296143.2,280479807775300.97,274980203701275.47,269480599627249.97,263980995553224.47,258481391479198.97,252981787405173.47,247482183331147.97,244732381294135.22,241982579257122.5,239232777220109.72,236482975183096.97,233733173146084.22,230983371109071.47,228233569072058.72,225483767035045.97,222733964998033.22,219984162961020.47,217234360924007.72,214484558886994.97,211734756849982.22,208984954812969.47,206235152775956.72,203485350738943.97,200735548701931.22,197985746664918.47,195235944627905.72,192486142590892.97
kerosene (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy or residual fuel oil (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG propane or butane (BTU),264005310521701.0,247718781752929.38,251116592098626.88,248780382370118.3,251292015225605.66,253431564265640.06,255568634939913.7,257703139156553.5,259834964942174.72,261964002028275.0,264090129130845.9,265646805817982.12,267200363978290.75,268750658910352.16,270297534774749.12,271840846951548.94,273380576822665.06,274916525741756.62,276448489034532.47,277976251518372.06,279499582526143.47,279302699016632.22,279101570945868.56,278895936388106.22,278685524256897.06,278470043632000.47,278249205790022.53,278022730378312.75,277790323853642.9,277551690094256.06,277306520558424.0
hydrogen (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
