Expected Capacity Factor (dimensionless),2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
hard coal,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619,0.4836285619
natural gas nonpeaker,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627
nuclear,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924
hydro,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477,0.4477
onshore wind,0.38662,0.401,0.4038798,0.4067596,0.4096394,0.4125192,0.415399,0.4182788,0.4211586,0.4240384,0.4269182,0.429798,0.4305501465,0.431302293,0.4320544395,0.432806586,0.4335587325,0.434310879,0.4350630255,0.435815172,0.4365673185,0.437319465,0.4380716115,0.438823758,0.4395759045,0.440328051,0.4410801975,0.441832344,0.4425844905,0.443336637,0.4440887835,0.44484093
solar PV,0.2514666288,0.2425252572,0.2448435855,0.2471619137,0.249480242,0.2517985702,0.2541168985,0.2564352267,0.258753555,0.2610718832,0.2633902115,0.2657085397,0.2667171641,0.2677257885,0.2687344129,0.2697430373,0.2707516617,0.2717602861,0.2727689105,0.2737775349,0.2747861593,0.2757947837,0.2768034081,0.2778120325,0.2788206569,0.2798292813,0.2808379057,0.28184653,0.2828551544,0.2838637788,0.2848724032,0.2858810276
solar thermal,0.5893333333,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576
biomass,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875
geothermal,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601,0.7601
petroleum,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667,0.0619666667
natural gas peaker,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463,0.1463
lignite,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194,0.8340092194
