Fixed O&M ($/MW) - Newly Built,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
hard coal,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6,86387.6
natural gas nonpeaker,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4,24515.4
nuclear,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976,130185.1541501976
hydro,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385,39177.6591206385
onshore wind,38614.0,38283.3727272727,37952.7454545454,37622.1181818182,37291.4909090909,36960.8636363636,36630.2363636364,36299.6090909091,35968.9818181818,35638.3545454546,35307.7272727273,34977.1,34714.77175,34452.4435,34190.11525,33927.787,33665.45875,33403.1305,33140.80225,32878.474,32616.14575,32353.8175,32091.48925,31829.161,31566.83275,31304.5045,31042.17625,30779.848,30517.51975,30255.1915,29992.86325,29730.535
solar PV,20553.1264169436,21009.9672,20393.9200317662,19780.2131059567,19168.7431765821,18559.4129829279,17952.1308220346,17346.8101573067,16743.3692597373,16141.7308786213,15541.8219389673,14943.5732631168,14866.9333934046,14790.5657823612,14714.4659667297,14638.6295802806,14563.0523511893,14487.7300994983,14412.6587346612,14337.8342531644,14263.2527362247,14188.9103475595,14114.8033312274,14040.9280095357,13967.2807810134,13893.8581184463,13820.6565669738,13747.6727422423,13674.9033286161,13602.3450774422,13529.9948053669,13457.8493927039
solar thermal,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209,58919.6209
biomass,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858,134550.9249011858
geothermal,123078.4258959882,122226.8782666724,121375.3306373566,120523.7830080408,119672.235378725,118820.6877494092,117969.1401200934,117117.5924907776,116266.0448614618,115414.497232146,114562.9496028303,114562.9496028303,114562.9496028303,114562.9496028303,114562.9496028303,114562.9496028303,114562.9496028303,114562.9496028303,114562.9496028303,114562.9496028303,114562.9496028303,114562.9496028303,114562.9496028303,114562.9496028303,114562.9496028303,114562.9496028303,114562.9496028303,114562.9496028303,114562.9496028303,114562.9496028303,114562.9496028303,114562.9496028303
petroleum,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542,14089.5035904542
