Variable O&M ($/MWh) - Preex. Retiring,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
hard coal,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591,3.6256791591
natural gas nonpeaker,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557
nuclear,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486,0.1523068486
hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar thermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539,6.9518421539
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
petroleum,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557
natural gas peaker,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815,7.2956180815
