Imported Electricity (MWh),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
hard coal,44635.1331177866,59249.9919892289,0.0,169.5172796531,84.7586398265,84.7586398265,84.7586398265,84.7586398265,84.7586398265,84.7586398265,84.7586398265,84.7586398265,84.7586398265,84.7586398265,84.7586398265,84.7586398265,84.7586398265,84.7586398265,84.7586398265,84.7586398265,84.7586398265,84.7586398265,84.7586398265,84.7586398265,84.7586398265,84.7586398265,84.7586398265,84.7586398265,84.7586398265,84.7586398265,84.7586398265
natural gas nonpeaker,949835.6327464988,1480543.5877628245,6.5298225617,38.6830117037,22.6064171327,22.6064171327,22.6064171327,22.6064171327,22.6064171327,22.6064171327,22.6064171327,22.6064171327,22.6064171327,22.6064171327,22.6064171327,22.6064171327,22.6064171327,22.6064171327,22.6064171327,22.6064171327,22.6064171327,22.6064171327,22.6064171327,22.6064171327,22.6064171327,22.6064171327,22.6064171327,22.6064171327,22.6064171327,22.6064171327,22.6064171327
nuclear,191038.3697441266,251812.4659542228,0.0,884.3643425068,442.1821712534,442.1821712534,442.1821712534,442.1821712534,442.1821712534,442.1821712534,442.1821712534,442.1821712534,442.1821712534,442.1821712534,442.1821712534,442.1821712534,442.1821712534,442.1821712534,442.1821712534,442.1821712534,442.1821712534,442.1821712534,442.1821712534,442.1821712534,442.1821712534,442.1821712534,442.1821712534,442.1821712534,442.1821712534,442.1821712534,442.1821712534
hydro,671875.2409461509,1191543.8867842474,9411.4676661581,19.9194526744,4715.6935594162,4715.6935594162,4715.6935594162,4715.6935594162,4715.6935594162,4715.6935594162,4715.6935594162,4715.6935594162,4715.6935594162,4715.6935594162,4715.6935594162,4715.6935594162,4715.6935594162,4715.6935594162,4715.6935594162,4715.6935594162,4715.6935594162,4715.6935594162,4715.6935594162,4715.6935594162,4715.6935594162,4715.6935594162,4715.6935594162,4715.6935594162,4715.6935594162,4715.6935594162,4715.6935594162
onshore wind,325409.9774338246,994851.7910060931,10666.5971020707,723.2453617429,5694.9212319068,5694.9212319068,5694.9212319068,5694.9212319068,5694.9212319068,5694.9212319068,5694.9212319068,5694.9212319068,5694.9212319068,5694.9212319068,5694.9212319068,5694.9212319068,5694.9212319068,5694.9212319068,5694.9212319068,5694.9212319068,5694.9212319068,5694.9212319068,5694.9212319068,5694.9212319068,5694.9212319068,5694.9212319068,5694.9212319068,5694.9212319068,5694.9212319068,5694.9212319068,5694.9212319068
solar PV,59245.896478362,169494.3846740014,957.7733056885,248.2147804663,602.9940430774,602.9940430774,602.9940430774,602.9940430774,602.9940430774,602.9940430774,602.9940430774,602.9940430774,602.9940430774,602.9940430774,602.9940430774,602.9940430774,602.9940430774,602.9940430774,602.9940430774,602.9940430774,602.9940430774,602.9940430774,602.9940430774,602.9940430774,602.9940430774,602.9940430774,602.9940430774,602.9940430774,602.9940430774,602.9940430774,602.9940430774
solar thermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass,85485.8400357577,374640.3728387092,5620.4779724313,614.1904124345,3117.3341924329,3117.3341924329,3117.3341924329,3117.3341924329,3117.3341924329,3117.3341924329,3117.3341924329,3117.3341924329,3117.3341924329,3117.3341924329,3117.3341924329,3117.3341924329,3117.3341924329,3117.3341924329,3117.3341924329,3117.3341924329,3117.3341924329,3117.3341924329,3117.3341924329,3117.3341924329,3117.3341924329,3117.3341924329,3117.3341924329,3117.3341924329,3117.3341924329,3117.3341924329,3117.3341924329
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
petroleum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
