Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
agriculture and forestry 01T03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal mining 05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil and gas extraction 06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other mining and quarrying 07T08,1230083221.8434782,1307461280.5310144,1295621014.3744924,1295621014.3744924,1295621014.3744924,1295621014.3744924,1312520418.909812,1329419823.4451315,1346319227.9804509,1363218632.5157704,1380118037.05109,1397017441.5864096,1413916846.1217291,1430816250.6570485,1447715655.192368,1464615059.7276876,1487147599.1081135,1509680138.4885395,1532212677.8689654,1554745217.2493916,1577277756.6298175,1605443430.85535,1633609105.0808825,1661774779.3064148,1689940453.5319471,1718106127.7574797,1746271801.9830122,1774437476.2085445,1802603150.434077,1830768824.6596096,1858934498.8851416
food beverage and tobacco 10T12,9860408511.591885,10290250756.224928,9891582432.913624,9853478476.374268,9815374519.834911,9777270563.295553,9739027691.535017,9700784819.774483,9662541948.013948,9624299076.253414,9586056204.49288,9559735870.37935,9533415536.265821,9507095202.152292,9480774868.038761,9454454533.925232,9436666107.718634,9418877681.512037,9401089255.305439,9383300829.098843,9365512402.892244,9358855856.49867,9352199310.105095,9345542763.711521,9338886217.317945,9332229670.924372,9364108611.046446,9395987551.16852,9427866491.290596,9459745431.41267,9491624371.534746
textiles apparel and leather 13T15,1245442056.0023186,1491399143.2788403,1161769568.115942,1131196684.74447,1100623801.372998,1070050918.0015258,1059859956.8777018,1049668995.7538778,1039478034.6300535,1029287073.5062293,1019096112.3824053,1008905151.2585812,998714190.1347574,988523229.0109329,978332267.8871092,968141306.763285,957950345.639461,947759384.515637,937568423.3918128,927377462.2679888,917186501.1441648,906995540.0203408,896804578.8965168,886613617.7726926,876422656.6488686,866231695.5250446,866231695.5250446,866231695.5250446,866231695.5250446,866231695.5250446,866231695.5250446
wood products 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulp paper and printing 17T18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined petroleum and coke 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chemicals 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
