Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
agriculture and forestry 01T03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal mining 05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil and gas extraction 06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other mining and quarrying 07T08,3235927788470.1606,3214551777675.207,3203077643297.5405,3034756141861.949,3138728106505.845,3153444487897.174,3140838473366.859,3128641191707.3037,3116804367168.5054,3105283898382.41,3094039416714.091,3140034008013.6035,3185995526165.757,3231925921579.971,3277826994261.3003,3323700408034.1157,3376464844631.646,3429239681674.591,3482024329396.283,3534818241793.84,3587620912642.7144,3635051584021.1865,3682504821670.701,3729979483292.3555,3777474502405.126,3824988882158.2114,3796774852759.303,3770050318015.261,3744718237396.246,3720689820784.34,3697883669907.135
food beverage and tobacco 10T12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
textiles apparel and leather 13T15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wood products 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulp paper and printing 17T18,1802389326191.3577,1740544011293.2676,1943026596265.404,1870229660007.975,1964464548036.0293,2003824105616.2449,2008504836316.1704,2013097095060.4307,2017584702029.9788,2021952876467.2966,2026188088655.9468,2060667074411.803,2095131199241.3428,2129581339531.9985,2164018304089.24,2198442840527.774,2228458395238.246,2258484942293.951,2288521858364.007,2318568566371.9575,2348624531283.505,2367175172220.7407,2385827391347.9385,2404576046802.9473,2423416338004.769,2442343777800.8765,2442855920729.5254,2443968408099.2583,2445642127488.6533,2447841291824.864,2450533093336.347
refined petroleum and coke 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chemicals 20,2025263917915.2068,2344407081703.8066,2683612712655.2627,2590115182034.9053,2727759793756.7246,2789437374490.693,2842268873502.1743,2893706482750.1304,2943780583467.695,2992518929836.7134,3039946926929.276,3164115254185.119,3288374259827.1245,3412718596315.2837,3537143328481.155,3661643894530.0146,3764613989923.5283,3867557790056.627,3970476786025.8384,4073372358280.5103,4176245786699.116,4265315052311.0625,4354175466545.103,4442837601404.89,4531311327197.789,4619605869801.802,4625123158044.282,4631689869668.033,4639237634772.826,4647703896285.722,4657031305058.147
