Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
agriculture and forestry 01T03,44657751600106.58,46857838784829.9,46286964393743.56,47685804042068.18,49615778413751.04,51690071174135.414,53801288285954.74,56002160305383.71,58296474343177.68,60688180215316.8,63181397313736.39,65832901849229.56,68597405246215.71,71479727757320.97,74484896173007.84,77618152656744.98,80908344335145.17,84339063269001.56,87916321634656.25,91646389307984.48,95535804914202.11,99490561568673.69,103611959304528.98,107907056293518.02,112383211032714.58,117048095145480.08,121850676065895.64,126853933762579.78,132066314997003.28,137496623953931.97,143154037411881.88
coal mining 05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil and gas extraction 06,44657751600106.58,46857838784829.9,46286964393743.56,47685804042068.18,49615778413751.04,51690071174135.414,53801288285954.74,56002160305383.71,58296474343177.68,60688180215316.8,63181397313736.39,65832901849229.56,68597405246215.71,71479727757320.97,74484896173007.84,77618152656744.98,80908344335145.17,84339063269001.56,87916321634656.25,91646389307984.48,95535804914202.11,99490561568673.69,103611959304528.98,107907056293518.02,112383211032714.58,117048095145480.08,121850676065895.64,126853933762579.78,132066314997003.28,137496623953931.97,143154037411881.88
other mining and quarrying 07T08,16236549065291.648,17399037879794.1,16869410794641.268,17096790747335.54,17566350786998.92,18075986122468.652,18738733543512.51,19428807455836.25,20147312479222.66,20895400556220.246,21674272857052.25,22399461270096.9,23152559525547.098,23934642620547.266,24746829316324.566,25590283868954.0,26783392102822.953,28029710893854.36,29331590391252.43,30691483538007.285,32111950557769.406,33713927383210.957,35389754665082.17,37142765164061.42,38976439646654.586,40894413417750.24,42975752278170.445,45154803168818.75,47436025626781.75,49824079184581.93,52323832254412.45
food beverage and tobacco 10T12,40154438822408.32,39430335761471.38,41686069633500.59,42015509747044.04,42931928687215.8,43934371814111.05,44898727321495.984,45895049786524.3,46924143655594.805,47986846454219.9,49084029157149.24,50289915325781.69,51533320494984.766,52815309927035.89,54136983889400.72,55499478497550.42,56998615639374.26,58544045631902.2,60137168951569.13,61779429881050.766,63472317763643.22,65263316059714.805,67110308179961.22,69015037585446.56,70979302912576.3,73004959637725.86,75178198361858.44,77420350372421.83,79733609680900.77,82120240125190.28,84582577526920.47
textiles apparel and leather 13T15,7736646072704.871,9052517602898.543,8929685187969.496,9070431742414.465,9268270956893.316,9484681325657.098,9692869227168.203,9907958249457.387,10130122058777.777,10359541462598.764,10596404489509.406,10856734740113.396,11125164702841.988,11401924349646.809,11687251209502.416,11981390550356.16,12305028683019.494,12638660652363.646,12982588797357.873,13337124913991.453,13702590526072.852,14089236502596.822,14487970590469.002,14899169173188.566,15323220545669.54,15760525273605.738,16229690437277.312,16713732803783.727,17213126022773.28,17728358818224.945,18259935454178.035
wood products 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulp paper and printing 17T18,32356899303276.99,33453203900788.68,37344364434102.086,38331628394458.1,39878900220884.664,41541964746704.555,43289933067785.91,45112685209029.4,47013413806243.734,48995448751592.41,51062263053043.66,53273935222344.625,55580978976761.79,57987505728580.65,60497803912263.27,63116346609723.23,65879068478513.05,68761602193067.37,71769132966608.89,74907069924328.44,78181055768219.78,81531475418171.62,85025726901667.34,88669987960366.39,92470701791244.97,96434588454980.5,100532846769629.06,104806118917397.88,109261893053124.1,113907978151143.78,118752517760880.27
refined petroleum and coke 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chemicals 20,28498833541081.19,31528503729174.523,33734668782719.312,34467080578677.637,35697500783964.41,37023600730476.086,39600463556471.14,42298280068651.17,45122859604731.67,48080262989487.234,51176814471478.78,54047891704802.77,57053075386809.92,60198539502596.9,63490731591350.414,66936385002783.42,70115511850842.05,73437524180371.62,76908767323739.36,80535865088407.56,84325731947411.86,88319166820052.3,92492576092226.81,96853960219806.88,101411671502690.97,106174429494663.0,111994434167138.47,118096604540036.02,124494075211651.02,131200577532411.95,138230466368793.36
rubber and plastic products 22,28498833541081.19,31528503729174.523,33734668782719.312,34467080578677.637,35697500783964.41,37023600730476.086,39600463556471.14,42298280068651.17,45122859604731.67,48080262989487.234,51176814471478.78,54047891704802.77,57053075386809.92,60198539502596.9,63490731591350.414,66936385002783.42,70115511850842.05,73437524180371.62,76908767323739.36,80535865088407.56,84325731947411.86,88319166820052.3,92492576092226.81,96853960219806.88,101411671502690.97,106174429494663.0,111994434167138.47,118096604540036.02,124494075211651.02,131200577532411.95,138230466368793.36
glass and glass products 231,28498833541081.19,31528503729174.523,33734668782719.312,34467080578677.637,35697500783964.41,37023600730476.086,39600463556471.14,42298280068651.17,45122859604731.67,48080262989487.234,51176814471478.78,54047891704802.77,57053075386809.92,60198539502596.9,63490731591350.414,66936385002783.42,70115511850842.05,73437524180371.62,76908767323739.36,80535865088407.56,84325731947411.86,88319166820052.3,92492576092226.81,96853960219806.88,101411671502690.97,106174429494663.0,111994434167138.47,118096604540036.02,124494075211651.02,131200577532411.95,138230466368793.36
