Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
agriculture and forestry 01T03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal mining 05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil and gas extraction 06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other mining and quarrying 07T08,1143142256881.708,1085713406640.4835,1293499026619.9927,1232372167880.3623,1052464758781.5591,1111491908049.4214,1123358652417.3271,1135211643124.2468,1147051494457.2947,1158878784658.5715,1170694058530.7466,1199119034023.6204,1227599905356.2434,1256134735316.1104,1284721675187.0618,1313358959752.9507,1344380094369.9128,1375481641063.1414,1406660881671.8845,1437915219179.3142,1469242171037.9111,1498205942454.2288,1527209865435.9773,1556252590971.7507,1585332829812.9104,1614449349200.3967,1658861290560.6497,1703797956638.1858,1749256756716.2063,1795235117104.708,1841730481000.8347
food beverage and tobacco 10T12,515757818556.7666,501022136163.0848,586813710130.4424,568920397954.9153,494214389234.8096,530691629831.5762,529873548424.1853,529035506305.3938,528178394991.1272,527303053685.12286,526410273060.41376,549596478680.4111,573001799093.9414,596618640320.4836,620439755290.108,644458224257.5625,687843498625.1265,731696334041.5942,776000925591.2019,820742172757.0997,865905640611.4082,884324528387.1976,902773677826.6147,921252072198.955,939758739815.8629,958292751564.3726,983899383820.2765,1009800333995.7032,1035994148958.4606,1062479385126.6818,1089254608390.4943
textiles apparel and leather 13T15,16100540347.954102,16241925460.550817,10631598293.134642,10046822151.579853,8510256246.401544,8914219981.29566,8923724105.620283,8932940961.276134,8941883378.697351,8950563435.45651,8958992510.686598,9000102416.116463,9038351014.356524,9073837471.285612,9106656422.655882,9136898229.85518,9208518628.10041,9278506648.915636,9346917471.37925,9413803815.329546,9479216076.860313,9502996017.236238,9526237286.248995,9548957982.167118,9571175401.484835,9592906082.835163,9703430369.876167,9813590263.757132,9923387563.59185,10032824056.66993,10141901518.553759
wood products 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulp paper and printing 17T18,783415107737.1594,1006666238905.5935,1282828758140.2952,1220919127955.7449,1041591612276.8721,1098863002713.334,1100374100541.4878,1101850487870.8342,1103293714994.94,1104705241239.5647,1106086441538.4375,1113992493044.3882,1121598056623.2515,1128913546448.4785,1135948900949.9902,1142713609673.7617,1145562166382.1912,1148113711787.5002,1150378285730.7688,1152365480593.9944,1154084465953.5332,1146967324498.403,1139735626536.2654,1132393220934.1074,1124943786049.6414,1117390839070.0747,1116254830703.362,1114758275908.3284,1112902954806.354,1110690635819.4473,1108123075766.1973
refined petroleum and coke 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chemicals 20,6301053641997.347,7499029751780.996,7679032241413.602,7420521933402.093,6425807420840.719,6879133163869.027,7001241986976.622,7123366213169.133,7245505154490.341,7367658163351.78,7489824629614.687,7678341524061.588,7867340204035.196,8056803972032.598,8246716893331.413,8437063752924.673,8503198435702.509,8567825771884.236,8630996714144.439,8692759944281.416,8753161998334.59,8775120530425.588,8796581650318.414,8817562070057.1,8838077761322.715,8858143995982.977,8832199854336.549,8803012879344.385,8770599081807.091,8734974367298.553,8696154537028.985
