Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
agriculture and forestry 01T03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal mining 05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil and gas extraction 06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other mining and quarrying 07T08,3444501981313.323,4407128579805.294,4659493680830.635,4318203527278.51,4287995281336.4956,4307122669997.0283,4290777566596.3086,4275982398231.9053,4262607874472.6143,4250537528489.6787,4239666165647.988,4360988441578.2554,4483676640290.261,4607732646465.399,4733158230597.714,4859955057512.679,5021250006276.6455,5184934091095.651,5351003874949.125,5519456070737.879,5690287533197.912,5802939188695.815,5915798915414.417,6028860191471.431,6142116764732.809,6255562639009.308,6362579495233.449,6469640696710.875,6576744671003.228,6683889919146.492,6791075011409.086
food beverage and tobacco 10T12,12450188124605.373,14901882120513.049,15149267626923.303,14061083092178.44,13983878285505.316,14067380020134.213,14448435299417.572,14823291620837.13,15192269497171.102,15555657651308.79,15913716862214.594,15972911396459.162,16026161624895.424,16073563215075.406,16115206038332.193,16151174602200.219,15470871794014.63,14759142109951.166,14016142791695.621,13242024222117.627,12436930295209.89,12132372480752.908,11824717967957.867,11514063821195.027,11200503090205.066,10884125015533.646,10342205118708.016,9799043299769.664,9254683596035.305,8709167987117.373,8162536513722.6455
textiles apparel and leather 13T15,2685527367896.116,3022959193687.3154,2876571358891.0366,2774697816551.117,2862684115343.486,2982666563963.658,3044149964020.1772,3104819570746.805,3164710325065.3174,3223853702300.8057,3282278131452.0986,3414338147399.352,3548521277597.0786,3684820453836.761,3823229036152.1035,3963740780870.4893,4107118084097.1743,4252826709731.2954,4400862214649.34,4551220349534.971,4703897048425.784,4789399872651.051,4875025557927.921,4960770253241.755,5046630266857.766,5132602058170.419,5194764088248.818,5256916046057.523,5319058288749.15,5381191156787.858,5443314974912.861
wood products 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulp paper and printing 17T18,13841772803431.48,17537769880618.371,17792232613192.31,16732360277230.367,16855456976007.697,17170381433711.299,17245501051249.252,17323163296303.201,17403092594926.38,17485040705826.932,17568783413643.31,18105254488575.227,18648328183082.582,19198004766286.02,19754284491000.965,20317167594954.004,20947395259116.27,21586184442269.203,22233526886852.66,22889414695497.75,23553840311599.523,23927666775113.65,24301758229009.73,24676106367304.47,25050703227554.137,25425541173275.08,25713648910443.703,26001670834347.625,26289609987839.43,26577469271590.188,26865251452298.234
refined petroleum and coke 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chemicals 20,27994848266388.926,33623542225566.85,33935989092579.688,32425981818094.625,33162020290465.78,34271172770614.766,34861428444723.312,35445345459009.59,36023126622889.734,36594954630236.164,37160994492970.76,38478122797701.56,39814313822375.74,41169527349446.35,42543725598030.78,43936873042126.11,45748113182503.36,47592378605694.39,49469589284773.62,51379668683556.2,53322543568320.48,54014398753296.305,54705858022005.07,55396933784232.52,56087637936489.74,56777981888278.06,57092012140646.48,57405254112693.125,57717735756050.24,58029483716271.5,58340523408236.83
