Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Unnamed: 32
agriculture and forestry 01T03,247222554716.50345,248557354396.80508,256436239699.358,258470788880.91058,260505338062.4631,262539887244.01562,264574436425.5682,266608985607.1208,268643534788.6733,270678083970.2259,272712633151.7784,274747182333.33093,276781731514.8835,278816280696.43604,280850829877.9886,282885379059.5411,284919928241.0936,286954477422.6462,288989026604.1987,291023575785.7513,293058124967.30383,295092674148.8564,297127223330.409,299161772511.96155,301196321693.51416,303230870875.06665,305265420056.6192,307299969238.1717,309334518419.72424,311369067601.2768,313403616782.82935,8758457828105.025
coal mining 05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil and gas extraction 06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other mining and quarrying 07T08,13472887523.778866,15674676243.039515,16862489507.368713,16921111665.336565,16979733823.304424,17038355981.272276,17214284130.249973,17390212279.227676,17566140428.20537,17742068577.183075,17917996726.160778,18174194984.128654,18430393242.096527,18686591500.064404,18942789758.03228,19198988016.000153,19513839269.47295,19828690522.945747,20143541776.41855,20458393029.891342,20773244283.36414,21121800964.853172,21470357646.342205,21818914327.831238,22167471009.32027,22516027690.809303,22877381950.1819,23238736209.5545,23600090468.9271,23961444728.299706,24322798987.672302,606025647251.3337
food beverage and tobacco 10T12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
textiles apparel and leather 13T15,37510581.73341752,20148066.47015977,4956556.059203469,4956556.059203469,4956556.059203469,4956556.059203469,4956556.059203469,4956556.059203469,4956556.059203469,4956556.059203469,4956556.059203469,4956556.059203469,4956556.059203469,4956556.059203469,4956556.059203469,4956556.059203469,4956556.059203469,4956556.059203469,4956556.059203469,4956556.059203469,4956556.059203469,4956556.059203469,4956556.059203469,4956556.059203469,4956556.059203469,4956556.059203469,4956556.059203469,4956556.059203469,4956556.059203469,4956556.059203469,4956556.059203469,201398773.92047808
wood products 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulp paper and printing 17T18,8157443727.643081,9191965468.234196,11580118824.458288,11770301196.850843,11960483569.243397,12150665941.63595,12347172668.45486,12543679395.273771,12740186122.09268,12936692848.91159,13133199575.7305,13324059557.525879,13514919539.321257,13705779521.116636,13896639502.912016,14087499484.707396,14266388367.052885,14445277249.398375,14624166131.743866,14803055014.089355,14981943896.434845,15144344283.311623,15306744670.188404,15469145057.06518,15631545443.941961,15793945830.818735,15935340326.207975,16076734821.597218,16218129316.986454,16359523812.37569,16500918307.764933,428598009473.0899
refined petroleum and coke 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chemicals 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
