Pollutant:,CO,Unit: grams of CO,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,2015,2016,2017,2018,2019,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
agriculture and forestry 01T03,0,0,0,0,0,2241598177158.2954,2348578190021.7,2384834910951.98,2401343891163.4897,2418484208550.616,2436240683185.398,2448407664985.72,2459843243691.493,2470567074217.521,2480605730186.5938,2489979778626.1436,2498701477440.028,2506772172550.5405,2514189083126.495,2520944912266.8687,2527036812400.528,2532471279549.119,2537261428112.5015,2541419215664.7646,2544959558584.3784,2547896372150.581,2550237576170.5864,2551993849036.138,2553185535308.1733,2553836416654.975,2553965736428.33,2553585741408.773,2552700936542.819,2551313446385.4937,2549420957285.2515,2547023346885.5215
coal mining 05,0,0,0,0,0,230008957464.058,212100032176.87805,214903837646.1574,230214488921.2009,237774241838.44357,245413583585.97815,246697410102.48553,247277825500.4944,248290252669.47168,249124590710.33694,249715559901.03723,250453652681.18634,250970450399.16574,251522102047.7109,251552668171.4088,251642397561.79968,251828306134.69406,251932954705.66452,252369082403.24887,252583874746.1776,252690757998.84485,252861446911.2111,252994607898.4795,252838572728.51425,252787427231.46967,252487245146.01462,252323542716.5138,252057980663.57898,251810617475.25146,251572074556.72498,251479296925.57263
oil and gas extraction 06,0,0,0,0,0,870373371778.1918,888490097784.9016,914031064909.9998,928139178756.8606,940792296442.5719,951524607325.9548,952509064991.733,952472593005.1302,964700615742.8721,970625822747.5582,972924979265.6056,978500465908.7279,984374823713.4384,989755985764.5027,987437669403.0328,985606523847.5823,985306603287.443,987932748077.2655,992390511201.0308,997515403901.8783,1002924865821.0577,1005433969801.35,1009095982624.1667,1015383035066.1567,1021275481902.6086,1025505862970.648,1030002346889.4888,1035029934631.296,1038484595836.6328,1041459788935.2938,1048024717769.0267
other mining and quarrying 07T08,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
food beverage and tobacco 10T12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
textiles apparel and leather 13T15,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wood products 16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulp paper and printing 17T18,0,0,0,0,0,100086813720.10933,103740812893.0184,106330753013.53175,105849234012.18243,106400514484.30177,106080746205.90828,105278510406.63306,104503684808.11043,103842161648.38156,103158319427.17389,102408764733.73427,101601413345.9764,100915303507.48154,100096763266.71356,99222098666.91896,98514326610.46297,97805989667.53952,97062545209.57532,96383498583.05496,95805273344.8972,95102643182.68837,94415870698.72911,93872360127.805,93334574172.98387,92435620872.47014,91757248632.39827,91421074657.04002,91087264191.44379,90892121466.83618,89934775153.01987,89566089759.56932
refined petroleum and coke 19,0,0,0,0,0,50109971273.04461,53749656239.39462,57860644124.9892,60548577210.49479,63505427677.09962,66537582684.52373,67483458855.955414,67256503631.3353,68049934406.60707,67909616739.094315,67695625286.62622,67007495210.360596,66354361711.29658,66318105971.01135,65457343106.63845,65046871234.86875,64631821515.12715,63954565102.25133,63495368207.19054,63517171610.05892,63725820540.61768,63311250016.54353,63118185140.828964,63122079880.08344,62741695378.83729,63473090706.48097,63888481980.58128,63969302917.93814,63683467800.138275,62961039548.86715,64554477295.27234
chemicals 20,0,0,0,0,0,452145720846.2683,453309765245.9141,457435369161.9988,455125244632.46796,464533694560.31573,473774082475.4819,477081373657.1165,480058449882.2222,483163346231.3225,486562418051.14905,490179639855.8458,493725010676.6927,497861141114.6003,501270802054.69507,504974836777.6843,508657004644.72546,512152938290.8561,515382815040.6547,518364215118.3474,520975588290.08167,523303934306.7929,526334211538.6368,529446848911.06036,532419530531.4492,533107897726.0248,533934993125.199,537307133794.04065,538975024961.73065,538275344705.74274,539231713786.02527,542659290780.69366
rubber and plastic products 22,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass and glass products 231,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement and other nonmetallic minerals 239,0,0,0,0,0,138142736858.90933,133571293553.9983,142143299069.4095,143804910553.22202,147194468048.91238,150274814314.20892,151205099112.50497,151741834249.3102,152393030689.78748,153377281872.4073,155110604591.34705,156980259347.91345,158482617084.16504,159917307575.78644,161403450654.12744,163133276980.50653,164412489967.39157,165499865157.4927,166521105793.99524,167502558810.6289,169010393713.7869,170691258434.40442,171995878049.0241,172603033854.1087,173450576696.59827,174337092483.36652,175196349801.16656,176127921402.0536,176198987487.4104,176219613875.15598,176608260873.32007
iron and steel 241,0,0,0,0,0,316332516714.50037,321886315269.32776,364755337825.60956,356112270398.6409,379686596574.0714,408735469539.2622,407017176329.9911,402454900098.46796,397336620419.6678,393413387350.2087,390676457416.1186,386494563731.9907,383818718211.10046,379495042355.0887,376528606600.3278,375201748989.0978,374067765518.74567,372203387116.8478,369825727243.05066,365257485543.5398,360905357686.1486,360728391619.4097,362729680773.3531,365293256067.57477,363183408183.1017,360868109529.5555,363197354675.8063,363210812290.9488,356010971965.78455,350832454708.83624,352722038642.3011
other metals 242,0,0,0,0,0,155771867502.08655,187660941880.116,209271232512.2003,208718374948.5825,211358321182.96222,215445252202.09387,218114214593.51874,220369678586.182,222355601274.32907,224196377653.751,225900776363.5356,227319227879.37164,228143382669.6469,228980622556.10663,229838166858.463,230444228196.89368,229961485392.22433,229494312424.79315,230240489866.70496,230049177478.07025,228978634725.98907,229952681676.77808,231835614307.9445,233300897805.2544,233739432908.87317,235452870417.54895,237572049286.8817,239641787687.6018,240545319728.7327,241057211090.21054,243648459557.7339
metal products except machinery and vehicles 25,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
computers and electronics 26,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appliances and electrical equipment 27,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other machinery 28,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
road vehicles 29,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nonroad vehicles 30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
