Pollutant:,CO2,Unit: grams of CO2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
agriculture and forestry 01T03,18021841078258.336,16761324058197.197,17220133371419.062,15524021576597.975,16195372750642.674,16648169660382.113,16760486532859.004,16867016552516.05,16967915502668.648,17063562620528.06,17154249970439.752,17239921081930.922,17320442180289.312,17395951661250.605,17466636637102.645,17532641926020.482,17594053839323.168,17650881854024.87,17703106389517.793,17750676066287.176,17793570833790.652,17831836432327.977,17865565204045.38,17894841345556.27,17919769887240.71,17940448810459.97,17956933880784.98,17969300287749.574,17977691283080.18,17982274320134.438,17983184896718.098,17980509245827.766,17974279088048.04,17964509382963.254,17951183839507.734,17934301596134.75
coal mining 05,375848382978.7048,335985153128.15466,373839136953.28015,375713316738.0898,365425531914.89355,269335796686.9613,326364140891.60626,332973281839.62225,337948157731.6421,301643170199.8605,300427436239.7063,322466568707.21277,335037448353.58093,357087061837.50037,378386552426.87213,397244136544.7787,399245350613.63855,397849689250.1352,398482437941.3282,389144996996.6173,382281537876.80896,389586973797.27496,396114401301.3265,411864497736.30756,423820844910.7863,434493172113.10944,435769536586.6104,437503167906.2367,432936282693.62415,432476370474.55896,426592578384.0928,437130301751.07086,446073574880.92737,456832274527.0794,469304959229.0346,487980295461.14874
oil and gas extraction 06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other mining and quarrying 07T08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
food beverage and tobacco 10T12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
textiles apparel and leather 13T15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wood products 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulp paper and printing 17T18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined petroleum and coke 19,293381249288.18677,179717745170.92526,139066189627.29663,90904229778.0654,210909090909.0909,162527695635.93378,161286765161.1752,176007568535.71298,185514704818.3737,194390380452.83926,205119461034.40817,213255595399.50552,217709295763.0111,225477694084.2916,230170614870.3793,234555812795.08002,237401237863.59793,240283595579.80017,245363518920.09238,247340010672.3466,250935301900.30078,251428495661.95923,250852924401.16492,251082953685.03497,253188037692.1383,256032322822.36075,256625486212.77356,258096498009.2792,260367822489.61176,261042279583.81808,266356637185.4777,270807140002.11734,273870967937.39972,275366784848.2933,274942131027.539,284678620029.1296
chemicals 20,5141230769230.77,4861435897435.897,5335179487179.486,5901128205128.206,5910666666666.666,5704000000000.0,5919762009873.343,5703335775707.108,5747402799433.058,5798148564151.776,5898674450428.097,5965299452824.276,6022730534763.483,6088951478552.644,6170391684981.203,6263940876562.679,6358082889779.92,6478976162686.61,6574619882796.869,6685364012877.086,6798735649449.602,6908210011129.842,7010566061580.608,7106435143956.193,7190938987240.798,7267439915494.87,7374790838537.543,7488469660824.127,7599590482286.777,7623350696556.935,7655331498995.156,7790490405642.313,7861005347907.54,7840671550624.911,7888388026630.831,8036344828870.926
rubber and plastic products 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass and glass products 231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
