Pollutant:,VOC,Unit: grams of VOC,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,2015,2016,2017,2018,2019,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
agriculture and forestry 01T03,0,0,0,0,0,444233844293.87604,465434852958.6697,472620111531.98236,475891816434.0748,479288638024.53174,482807567986.41974,485218787425.1608,487485059383.24695,489610279018.3614,491599712618.9624,493457436102.7391,495185878707.817,496785307165.42395,498255170377.981,499594022265.44366,500801298503.8908,501878286457.26605,502827585101.74817,503651564156.9244,504353179710.20435,504935189453.8698,505399162913.8239,505747216304.7676,505983381456.5834,506112371355.76117,506137999597.54254,506062693215.6625,505887344988.1979,505612375953.6986,505237327598.97943,504762175675.7469
coal mining 05,0,0,0,0,0,22835375035.825695,20976268427.232296,21258627588.632977,22781632718.8246,23608968098.840057,24385587796.97306,24511610418.6176,24584459716.429558,24686860987.251225,24774462475.806187,24842566029.78124,24919637079.609634,24978853825.1516,25038859619.157444,25059155727.27348,25081983767.44812,25110056328.31187,25130488737.602287,25173365454.463615,25198474697.18905,25214112510.791805,25232803020.819202,25247196461.022335,25239022712.559776,25237039672.617092,25215528637.079945,25202592678.531395,25180889821.63973,25159167480.834137,25136736590.724907,25123568102.326984
oil and gas extraction 06,0,0,0,0,0,2421475931696.6743,2477817832016.317,2563668213238.2515,2604700615605.3877,2640227405543.9795,2668401927579.1304,2666878301851.5186,2661655523391.804,2705089434902.3643,2723985078981.231,2728883805687.647,2746985941408.645,2766555217699.973,2784470933601.3657,2772332727766.4985,2762409587246.003,2758813772135.234,2767037228602.484,2782760876930.4,2801388253369.883,2821405313827.0,2830255133105.7793,2843908941497.0635,2868160114566.722,2891096141829.707,2907712775389.52,2925604463010.023,2945813706623.9766,2960046515546.3804,2972613789702.9287,2999554372463.187
other mining and quarrying 07T08,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
food beverage and tobacco 10T12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
textiles apparel and leather 13T15,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wood products 16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulp paper and printing 17T18,0,0,0,0,0,119299404726.0195,123932611041.62993,127021838024.6128,126285191813.09795,126720667031.8863,126057374144.92584,124848792848.46455,123684139799.57593,122681778682.3488,121654335747.8849,120541758278.34602,119354867428.19539,118340717257.74422,117149274283.54713,115885898545.58957,114858367808.12347,113835543611.29747,112769649136.38835,111797897819.80833,110970428175.21239,109976321188.48877,109009067299.0765,108244389917.30424,107492323554.42853,106246374190.66719,105309169727.55064,104848434627.53638,104395173543.03513,104137462886.339,102832157188.6611,102343394022.39183
refined petroleum and coke 19,0,0,0,0,0,156921535334.4322,168319365717.15543,181193101509.85117,189610479846.69827,198869984555.76514,208365308680.8645,211327360689.40677,210616640619.23346,213101303297.6216,212661892472.56503,211991769013.76752,209836860013.9396,207791544304.3573,207678007890.63153,204982491872.46692,203697081510.1515,202397335419.5563,200276477765.40848,198838482892.07065,198906761188.12033,199560154309.23718,198261908840.53317,197657317859.00574,197669514402.88742,196478323938.46423,198768719938.19247,200069535620.98672,200322629870.59424,199427524876.55527,197165209663.0677,202155128660.6913
chemicals 20,0,0,0,0,0,788521897614.1108,806154863954.7817,790978172325.1193,787867265460.5776,805805640730.3617,828169797622.2819,837316084035.7979,845213057011.0089,854285335124.7987,865400010929.8807,878138073492.6105,890947221154.491,907353831223.5778,920347755691.5007,935368381779.1375,950734227401.2136,965565789678.5264,979429025633.2913,992409207076.7426,1003848907418.0496,1014201582250.1373,1028705010528.0933,1044053569318.4867,1059049646231.7078,1062261518214.5162,1066574527694.376,1084789845595.9719,1094283824443.2621,1091523887313.2931,1097930814651.7767,1117844072069.3289
rubber and plastic products 22,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
