Unit: dimensionless (% change),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ISIC 01T03,-0.003031244,0.004528725,0.002563769,0.002584108,0.001527998,0.001734816,0.001192172,0.001257932,0.001396948,0.001558424,0.001712888,0.001846041,0.001947861,0.002026457,0.002087083,0.002132838,0.002165753,0.002188004,0.002201991,0.002208588,0.002208101,0.002201708,0.00219097,0.002177146,0.002160812,0.002142293,0.002122153,0.002100912,0.002079065,0.002057079,0.002035141
ISIC 05,-0.000116424,0.00017394,9.84696E-05,9.92508E-05,5.86876E-05,6.66311E-05,4.57891E-05,4.83148E-05,5.36542E-05,5.98562E-05,6.57888E-05,7.0903E-05,7.48138E-05,7.78325E-05,8.0161E-05,8.19184E-05,8.31826E-05,8.40372E-05,8.45744E-05,8.48278E-05,8.48091E-05,8.45636E-05,8.41511E-05,8.36201E-05,8.29928E-05,8.22815E-05,8.1508E-05,8.06922E-05,7.9853E-05,7.90086E-05,7.8166E-05
ISIC 06,-0.001075053,0.001606146,0.00090926,0.000916473,0.000541916,0.000615265,0.000422813,0.000446135,0.000495438,0.000552707,0.000607489,0.000654712,0.000690824,0.000718698,0.0007402,0.000756427,0.000768101,0.000775992,0.000780953,0.000783292,0.00078312,0.000780853,0.000777044,0.000772141,0.000766348,0.00075978,0.000752638,0.000745104,0.000737356,0.000729559,0.000721778
ISIC 07T08,-0.000557401,0.000832766,0.000471439,0.000475179,0.000280976,0.000319007,0.000219223,0.000231315,0.000256878,0.000286571,0.000314975,0.00033946,0.000358183,0.000372636,0.000383784,0.000392197,0.00039825,0.000402342,0.000404914,0.000406127,0.000406037,0.000404862,0.000402887,0.000400345,0.000397341,0.000393936,0.000390233,0.000386327,0.000382309,0.000378266,0.000374232
ISIC 09,-9.21969E-05,0.000137744,7.79784E-05,7.8597E-05,4.64749E-05,5.27654E-05,3.62605E-05,3.82607E-05,4.24889E-05,4.74003E-05,5.20984E-05,5.61483E-05,5.92453E-05,6.16358E-05,6.34797E-05,6.48714E-05,6.58725E-05,6.65493E-05,6.69747E-05,6.71754E-05,6.71606E-05,6.69662E-05,6.66395E-05,6.62191E-05,6.57223E-05,6.5159E-05,6.45464E-05,6.39004E-05,6.32359E-05,6.25672E-05,6.18999E-05
ISIC 10T12,-0.004137536,0.006181543,0.003499451,0.003527213,0.002085661,0.00236796,0.00162727,0.00171703,0.001906783,0.002127191,0.002338029,0.002519778,0.002658759,0.002766039,0.002848791,0.002911245,0.002956173,0.002986545,0.003005637,0.003014642,0.003013977,0.003005251,0.002990593,0.002971724,0.002949429,0.002924151,0.002896661,0.002867668,0.002837847,0.002807837,0.002777893
ISIC 13T15,-0.000900159,0.001344852,0.000761338,0.000767378,0.000453755,0.000515172,0.000354028,0.000373556,0.000414838,0.00046279,0.00050866,0.000548201,0.000578438,0.000601778,0.000619781,0.000633368,0.000643143,0.000649751,0.000653904,0.000655863,0.000655719,0.00065382,0.000650631,0.000646526,0.000641676,0.000636176,0.000630196,0.000623888,0.0006174,0.000610871,0.000604356
ISIC 16,-0.000315726,0.000471699,0.000267035,0.000269153,0.000159152,0.000180693,0.000124173,0.000131023,0.000145502,0.000162321,0.00017841,0.000192278,0.000202884,0.00021107,0.000217385,0.00022215,0.000225579,0.000227896,0.000229353,0.00023004,0.00022999,0.000229324,0.000228205,0.000226765,0.000225064,0.000223135,0.000221037,0.000218825,0.000216549,0.00021426,0.000211975
ISIC 17T18,-0.000477947,0.00071406,0.000404239,0.000407446,0.000240925,0.000273535,0.000187974,0.000198343,0.000220262,0.000245722,0.000270077,0.000291072,0.000307126,0.000319519,0.000329078,0.000336292,0.000341482,0.00034499,0.000347196,0.000348236,0.000348159,0.000347151,0.000345458,0.000343278,0.000340703,0.000337783,0.000334607,0.000331258,0.000327814,0.000324347,0.000320888
ISIC 19,-0.002638401,0.003941812,0.00223151,0.002249213,0.001329972,0.001509987,0.001037669,0.001094906,0.001215906,0.001356455,0.001490901,0.001606798,0.001695422,0.001763832,0.001816601,0.001856426,0.001885076,0.001904443,0.001916618,0.00192236,0.001921936,0.001916372,0.001907025,0.001894992,0.001880775,0.001864656,0.001847127,0.001828639,0.001809622,0.001790486,0.001771391
ISIC 20,-0.001628725,0.00243334,0.001377545,0.001388473,0.000821012,0.000932138,0.000640568,0.000675902,0.000750597,0.00083736,0.000920356,0.0009919,0.00104661,0.00108884,0.001121415,0.001146,0.001163686,0.001175641,0.001183157,0.001186702,0.00118644,0.001183005,0.001177235,0.001169807,0.001161031,0.00115108,0.001140259,0.001128846,0.001117107,0.001105294,0.001093506
ISIC 21,-0.000388971,0.000581129,0.000328985,0.000331594,0.000196074,0.000222613,0.00015298,0.000161419,0.000179257,0.000199978,0.000219799,0.000236885,0.000249951,0.000260036,0.000267816,0.000273687,0.000277911,0.000280766,0.000282561,0.000283407,0.000283345,0.000282525,0.000281147,0.000279373,0.000277277,0.0002749,0.000272316,0.00026959,0.000266787,0.000263966,0.000261151
ISIC 22,-0.000618289,0.000923734,0.000522938,0.000527086,0.000311669,0.000353854,0.00024317,0.000256583,0.000284938,0.000317875,0.000349381,0.000376541,0.000397309,0.000413341,0.000425707,0.000435039,0.000441753,0.000446292,0.000449145,0.00045049,0.000450391,0.000449087,0.000446897,0.000444077,0.000440745,0.000436968,0.00043286,0.000428528,0.000424071,0.000419587,0.000415112
