Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CO2 (g),662106412018444.9,727032629459101.0,749548910497411.4,765618712380660.9,777175978855367.8,785574470544094.9,792024155961288.0,797109676988407.4,801240282942474.6,804702448345406.0,807696705362542.0,811120508312217.5,814844993414670.5,818779956024067.9,822862252888326.2,827047683730987.2,831652206521948.8,836550093676720.9,841653335886160.1,846900326633866.4,852247941358359.6,856040493702206.2,858744502379600.2,860686530490477.2,862095172204792.5,863130443441514.2,865045837814089.1,867577318381760.9,870540059286000.8,873804682425838.1,877280623130593.6
VOCs (g),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO (g),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOx (g),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM10 (g),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM25 (g),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOx (g),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BC (g),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OC (g),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH4 (g),103184754522.40982,113303061318.83467,116812069673.8707,119316438356.07678,121117559267.302,122426406738.84058,123431546085.68822,124224089745.25215,124867816423.7175,125407371215.41386,125874005686.37195,126407581952.18456,126988017474.39525,127601254476.08467,128237452513.40916,128889723275.6782,129607306650.87889,130370608855.13173,131165914239.72107,131983621850.54594,132817011019.7357,133408054355.83664,133829455608.77539,134132107403.50064,134351634577.4764,134512974516.92752,134811475625.75262,135205989553.13956,135667712453.51976,136176481634.99527,136718183213.23743
N2O (g),333640961.9906497,366357826.30748576,377703968.7548487,385801676.40728146,391625479.7032629,395857549.94972855,399107600.4069796,401670237.0117804,403751683.9198658,405496298.0402507,407005129.20924515,408730412.1683903,410607211.38064086,412590071.97006524,414647175.5235113,416756249.1517725,419076506.7200401,421544593.0463122,424116159.50318736,426760162.05148464,429454869.8637775,431365968.72860116,432728541.3301962,433707145.5475314,434416971.89588463,434938653.73595035,435903836.9896651,437179471.232934,438672421.16889095,440317492.0897295,442069047.699985
F gases (g CO2e),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
